id;Arus (Ampere);Tegangan (Volt);gardu
1;7.4;17.4;3
2;64.9;32.1;3
3;7.3;190.2;3
4;112.8;183.5;3
5;150.0;48.7;3
6;44.9;170.6;3
7;88.8;79.8;3
8;77.7;144.6;3
9;146.1;139.0;3
10;171.0;28.5;3
11;110.6;171.4;3
12;53.9;59.0;3
13;58.6;74.0;3
14;154.7;109.9;3
15;11.7;17.8;3
16;122.3;4.0;3
17;67.3;107.1;3
18;144.8;178.9;3
19;113.5;166.6;3
20;134.7;132.6;3
21;77.6;187.8;3
22;153.4;13.1;3
23;11.6;174.0;3
24;65.7;179.9;3
25;166.8;25.3;3
26;163.9;89.7;3
27;140.5;140.8;3
28;77.9;35.0;3
29;14.0;164.2;3
30;18.5;149.2;3
31;7.3;184.6;3
32;41.3;116.8;3
33;126.2;182.6;3
34;54.4;66.1;3
35;197.0;41.7;3
36;147.0;24.8;3
37;171.9;101.7;3
38;13.0;176.1;3
39;128.8;136.3;3
40;106.7;115.6;3
41;185.9;35.9;3
42;28.3;139.3;3
43;33.9;11.8;3
44;180.3;90.6;3
45;10.1;86.1;3
46;164.4;91.9;3
47;44.5;121.3;3
48;90.7;169.6;3
49;154.1;156.8;3
50;112.3;84.1;3
51;23.7;91.7;3
52;151.2;159.1;3
53;179.3;13.2;3
54;7.1;37.6;3
55;116.4;129.9;3
56;165.6;198.9;3
57;49.3;78.4;3
58;116.8;7.7;3
59;79.9;83.9;3
60;128.1;121.8;3
61;105.4;149.1;3
62;36.7;39.0;3
63;53.0;189.4;3
64;192.6;39.6;3
65;139.9;107.1;3
66;98.0;50.0;3
67;171.0;179.1;3
68;166.4;82.8;3
69;163.9;43.6;3
70;132.8;186.1;3
71;164.1;26.8;3
72;13.4;118.0;3
73;65.2;28.9;3
74;138.4;41.5;3
75;165.6;22.1;3
76;177.2;49.8;3
77;164.5;50.1;3
78;68.5;99.8;3
79;131.7;15.5;3
80;131.4;99.1;3
81;100.8;100.9;3
82;143.3;31.2;3
83;141.0;23.0;3
84;98.0;126.8;3
85;53.7;75.8;3
86;84.3;153.4;3
87;165.4;0.5;3
88;76.3;83.5;3
89;63.8;106.8;3
90;169.1;120.1;3
91;180.6;32.9;3
92;43.1;56.6;3
93;147.7;27.8;3
94;186.3;1.4;3
95;106.5;185.4;3
96;38.0;38.8;3
97;82.7;156.6;3
98;32.8;102.9;3
99;108.0;59.5;3
100;140.9;88.4;3
101;18.9;3.6;3
102;162.6;83.0;3
103;38.3;50.7;3
104;32.0;182.3;3
105;131.2;113.1;3
106;46.2;186.5;3
107;117.1;174.9;3
108;16.2;4.0;3
109;186.1;28.5;3
110;21.1;199.1;3
111;63.5;69.0;3
112;2.5;148.7;3
113;13.9;80.7;3
114;137.3;110.0;3
115;154.6;8.5;3
116;122.3;99.7;3
